time,open,high,low,close,volume
1746057600000,94125.2,94358.9,94086.7,94358.9,2408.187
1746061200000,94358.9,94662.6,94343.4,94598.7,4527.356
1746064800000,94598.8,94939.4,94563.0,94799.9,6949.205
1746068400000,94799.9,94978.1,94631.0,94737.5,5478.443
1746072000000,94737.6,94883.4,94660.2,94825.2,2516.381
1746075600000,94825.2,95140.0,94786.8,95104.1,6237.74
1746079200000,95104.1,95146.2,94759.2,94849.4,4455.041
1746082800000,94849.4,95063.9,94754.4,94978.6,3133.646
1746086400000,94978.6,95174.9,94866.6,95163.0,3325.554
1746090000000,95163.0,95789.0,95090.2,95478.3,12610.034
1746093600000,95478.2,96351.8,95478.2,96118.0,19119.023
1746097200000,96118.0,96209.2,95770.0,96129.9,6707.482
1746100800000,96130.0,96414.8,96051.3,96321.1,7007.951
1746104400000,96321.1,96712.0,95742.1,95745.1,18919.509
1746108000000,95745.1,96858.0,95745.1,96768.2,15737.446
1746111600000,96768.3,97388.0,96690.3,96793.9,21068.384
1746115200000,96793.9,97300.0,96793.9,96954.3,7763.222
1746118800000,96954.3,97165.0,96447.4,96746.5,8922.708
1746122400000,96746.5,96956.6,96379.5,96812.1,6467.725
1746126000000,96812.1,96837.0,96344.4,96459.1,5745.778
1746129600000,96459.5,96834.4,96244.0,96344.6,6795.979
1746133200000,96344.6,96726.5,96329.3,96409.1,2212.398
1746136800000,96409.1,96593.4,96308.9,96329.0,3111.395
1746140400000,96328.9,96454.9,96122.4,96423.3,3306.168
1746144000000,96423.2,96999.9,96400.0,96973.9,5831.581
1746147600000,96973.9,97127.4,96667.1,96910.1,5213.535
1746151200000,96910.0,97000.0,96663.0,96901.4,2627.305
1746154800000,96901.3,97193.7,96901.3,97054.9,3527.597
1746158400000,97055.0,97262.0,96815.3,96894.8,3389.343
1746162000000,96894.9,96952.0,96569.9,96650.0,3210.727
1746165600000,96650.0,96831.5,96436.4,96658.0,5194.098
1746169200000,96658.0,96673.8,96283.1,96302.0,7547.474
1746172800000,96302.0,96718.8,96300.0,96581.2,4624.693
1746176400000,96581.2,96730.9,96404.2,96549.9,2962.464
1746180000000,96550.0,96885.1,96549.9,96844.9,2913.892
1746183600000,96844.8,97072.2,96823.3,96875.7,4285.225
1746187200000,96875.7,97134.2,96585.1,97134.1,8640.23
1746190800000,97134.2,97221.8,96602.9,96709.6,8843.417
1746194400000,96709.7,97865.4,96629.1,97690.1,23838.988
1746198000000,97690.1,97849.0,97004.8,97270.1,12906.095
1746201600000,97270.1,97740.0,97270.1,97300.7,8192.197
1746205200000,97300.8,97372.3,97000.0,97340.9,5101.346
1746208800000,97340.9,97571.4,97100.0,97124.9,3636.621
1746212400000,97124.9,97136.2,96700.0,96856.8,6374.321
1746216000000,96856.8,97083.4,96784.0,96962.8,2790.825
1746219600000,96962.8,96988.8,96507.6,96666.0,2477.312
1746223200000,96666.1,96743.2,96513.4,96607.6,2793.174
1746226800000,96607.6,96845.6,96541.5,96831.2,2275.066
1746230400000,96831.2,96868.4,96573.9,96657.1,2530.978
1746234000000,96657.1,96675.8,96385.8,96457.7,3992.187
1746237600000,96457.7,96657.3,96436.1,96482.3,2244.721
1746241200000,96482.4,96499.8,96255.0,96292.1,4020.908
1746244800000,96292.1,96555.0,96258.2,96470.4,2027.597
1746248400000,96470.3,96557.7,96369.0,96379.1,1805.307
1746252000000,96379.2,96379.2,96064.1,96135.8,3795.288
1746255600000,96135.8,96350.1,96102.9,96290.8,3180.956
1746259200000,96290.8,96377.8,96093.4,96244.2,2867.699
1746262800000,96244.3,96361.5,96143.9,96209.0,2118.134
1746266400000,96209.1,96209.1,95804.8,95853.7,7431.438
1746270000000,95853.8,96046.1,95815.6,95895.6,3495.714
1746273600000,95895.7,96116.0,95834.4,96074.1,3231.632
1746277200000,96074.2,96288.0,96057.5,96287.9,2848.59
1746280800000,96288.0,96417.1,96232.0,96314.7,2782.445
1746284400000,96314.7,96456.0,96266.6,96358.7,2712.092
1746288000000,96358.7,96370.0,96017.0,96150.0,3409.697
1746291600000,96150.0,96150.1,95812.7,96145.0,3945.804
1746295200000,96145.0,96232.9,96050.0,96103.6,1370.162
1746298800000,96103.6,96313.0,96075.8,96312.0,1409.374
1746302400000,96312.0,96347.8,96250.0,96302.2,1683.926
1746306000000,96302.2,96399.9,96200.0,96225.9,1813.489
1746309600000,96225.9,96389.9,96119.6,96128.8,2694.328
1746313200000,96128.8,96132.3,95700.0,95803.3,4008.163
1746316800000,95803.3,96009.1,95719.5,95819.0,3045.94
1746320400000,95818.9,96148.6,95508.7,96055.4,5093.365
1746324000000,96055.3,96266.6,95751.4,95834.4,3804.391
1746327600000,95834.3,95851.7,95605.2,95680.0,2710.681
1746331200000,95680.0,95900.0,95680.0,95680.1,1683.264
1746334800000,95680.1,96100.0,95634.0,95999.5,3283.214
1746338400000,95999.5,96109.6,95834.2,95869.9,2765.519
1746342000000,95869.9,96038.5,95760.0,95842.1,2062.385
1746345600000,95842.1,95886.5,95350.6,95598.5,6420.962
1746349200000,95598.5,95635.0,95387.7,95440.0,3046.587
1746352800000,95440.0,95494.3,95227.2,95355.5,4988.952
1746356400000,95355.5,95507.8,95315.0,95376.0,2677.191
1746360000000,95376.0,95561.9,95363.7,95430.0,2492.903
1746363600000,95430.0,95563.3,95172.4,95332.0,4779.321
1746367200000,95331.9,95609.0,95279.4,95562.6,3241.747
1746370800000,95562.6,95649.0,95376.9,95421.1,2838.453
1746374400000,95421.1,95518.9,95250.0,95300.8,3758.474
1746378000000,95300.7,95441.0,95200.1,95367.4,2588.881
1746381600000,95367.3,95448.7,95312.8,95332.4,1442.291
1746385200000,95332.5,95590.0,95300.0,95533.9,1625.907
1746388800000,95534.0,95685.0,95520.3,95676.9,1938.093
1746392400000,95677.0,95700.0,95570.1,95622.5,1500.585
1746396000000,95622.6,95643.0,94666.0,94960.9,12753.115
1746399600000,94961.0,94980.0,94116.4,94230.2,13718.656
1746403200000,94230.2,94750.1,94150.1,94660.0,6370.174
1746406800000,94660.0,94700.0,93650.0,93880.0,13370.567
1746410400000,93880.1,94350.0,93445.1,94199.9,11271.38
1746414000000,94200.0,94260.7,93973.7,94001.1,4157.873
1746417600000,94001.2,94411.3,93980.0,94375.1,4336.471
1746421200000,94375.2,94737.0,94176.7,94697.4,5549.095
1746424800000,94697.8,94752.5,94529.1,94724.2,4321.51
1746428400000,94724.2,94778.5,94471.1,94696.4,4677.907
1746432000000,94696.4,94726.8,94440.0,94509.9,3056.376
1746435600000,94509.8,94602.0,94420.9,94510.7,2260.907
1746439200000,94510.8,94519.2,93994.5,94067.5,6587.018
1746442800000,94067.6,94228.2,93835.0,93986.0,6130.865
1746446400000,93986.1,94296.1,93844.0,94279.3,5874.061
1746450000000,94279.2,94354.6,93600.0,94192.2,12268.398
1746453600000,94192.2,94501.0,93670.0,93839.8,12058.967
1746457200000,93839.8,93926.0,93559.6,93726.0,7222.708
1746460800000,93726.0,94237.7,93705.3,94163.9,5695.862
1746464400000,94163.8,94598.0,94022.2,94458.5,6561.468
1746468000000,94458.6,94871.8,94401.3,94675.7,6841.365
1746471600000,94675.8,94856.6,94228.2,94295.5,4919.575
1746475200000,94295.2,94320.2,93814.2,94198.4,5367.977
1746478800000,94198.3,94803.0,94186.5,94673.5,4821.295
1746482400000,94673.5,95165.1,94668.4,95010.5,7734.924
1746486000000,95010.5,95090.0,94672.8,94696.7,3445.632
1746489600000,94696.7,94746.0,94379.5,94558.5,3929.242
1746493200000,94558.4,94893.3,94251.7,94254.7,4703.605
1746496800000,94254.8,94358.0,93961.0,94291.3,4792.376
1746500400000,94291.2,94473.9,94181.1,94418.3,2575.175
1746504000000,94418.4,94552.4,94300.3,94540.7,2209.451
1746507600000,94540.7,94572.2,94267.0,94300.0,2970.962
1746511200000,94300.0,94464.0,94300.0,94464.0,1366.064
1746514800000,94464.0,94600.0,94310.0,94350.0,2315.856
1746518400000,94350.0,94354.6,93931.1,94341.7,7167.006
1746522000000,94341.6,94341.7,94068.0,94179.6,2013.884
1746525600000,94179.5,94300.0,93812.0,93896.1,8807.333
1746529200000,93896.1,94020.3,93662.2,93770.3,5711.596
1746532800000,93770.3,94000.0,93722.1,93898.2,4393.998
1746536400000,93898.1,93982.2,93327.0,93565.4,13686.695
1746540000000,93565.4,94642.3,93561.3,94098.4,20939.833
1746543600000,94097.4,94697.2,94025.6,94513.2,9611.471
1746547200000,94513.2,94768.7,94145.4,94186.3,9218.162
1746550800000,94186.3,94800.0,94175.9,94470.8,6489.468
1746554400000,94470.9,95050.0,94449.7,95027.6,5723.99
1746558000000,95027.7,95119.9,94864.4,94910.8,5795.895
1746561600000,94910.8,94979.6,94568.7,94625.3,4389.095
1746565200000,94625.3,94750.1,94400.0,94637.9,2879.971
1746568800000,94637.9,96248.9,94623.7,96206.2,25713.772
1746572400000,96206.3,96879.5,96053.8,96798.9,16278.166
1746576000000,96798.9,97476.9,96716.1,97379.6,15740.615
1746579600000,97379.5,97700.0,97150.0,97208.6,9817.201
1746583200000,97208.7,97245.1,96412.3,96582.3,12638.704
1746586800000,96582.4,96623.0,96153.2,96453.8,11055.723
1746590400000,96453.8,96655.8,96371.0,96527.6,4115.039
1746594000000,96527.6,96527.6,96268.0,96334.2,2896.174
1746597600000,96334.2,96613.6,96311.2,96512.9,3546.174
1746601200000,96513.0,96963.0,96505.8,96940.0,4557.147
1746604800000,96940.0,97033.6,96805.4,96972.2,4067.352
1746608400000,96972.2,97008.0,96814.4,96936.6,2750.44
1746612000000,96936.6,97077.6,96783.0,96979.9,4627.687
1746615600000,96979.9,97034.9,96882.4,97000.0,2923.195
1746619200000,97000.0,97150.0,96815.0,96920.9,5908.365
1746622800000,96921.0,97265.4,96655.2,96967.7,10562.539
1746626400000,96967.7,97446.8,96745.0,96884.7,11942.387
1746630000000,96884.6,97112.9,96710.9,96889.0,6543.692
1746633600000,96889.0,96916.5,96458.6,96800.9,8832.958
1746637200000,96801.0,96846.5,96146.7,96277.4,7350.97
1746640800000,96277.4,96825.1,95837.9,96548.7,20597.601
1746644400000,96548.8,96575.6,95718.5,96124.6,11647.71
1746648000000,96124.5,96723.9,96015.1,96723.8,6071.156
1746651600000,96723.9,97293.4,96604.7,97084.9,7153.379
1746655200000,97084.9,97276.6,96972.3,97225.0,4371.698
1746658800000,97225.0,97363.8,96918.6,96988.4,5549.236
1746662400000,96988.4,97800.0,96831.5,97725.1,8181.972
1746666000000,97725.0,98350.0,97550.0,97769.2,22571.656
1746669600000,97769.1,98815.2,97769.1,98625.8,17282.141
1746673200000,98625.9,99199.9,98482.0,99097.9,12581.954
1746676800000,99098.0,99374.3,98876.4,98905.3,14313.681
1746680400000,98905.3,99092.3,98685.6,98700.0,7649.525
1746684000000,98700.0,98986.3,98680.1,98980.5,4364.852
1746687600000,98980.5,99343.6,98980.4,99212.0,6617.5
1746691200000,99212.1,99800.0,99165.2,99615.0,13268.958
1746694800000,99615.0,99759.9,99496.7,99741.1,5470.843
1746698400000,99741.1,99863.3,99633.4,99729.9,5509.639
1746702000000,99729.9,99730.0,99369.8,99369.8,7468.058
1746705600000,99369.9,99516.2,99214.6,99250.0,7458.594
1746709200000,99250.0,99586.8,99050.1,99256.3,10759.389
1746712800000,99256.3,99777.0,99104.0,99321.1,12669.062
1746716400000,99321.1,101493.2,99264.7,100730.8,52192.954
1746720000000,100730.9,101315.7,100550.0,101235.9,15099.831
1746723600000,101235.9,101686.7,100746.6,100976.5,14510.971
1746727200000,100976.5,101436.6,100918.3,101320.1,6165.195
1746730800000,101320.0,101326.0,100913.7,101254.2,9071.128
1746734400000,101254.3,102845.5,101231.7,102576.9,22312.968
1746738000000,102576.8,104305.3,102080.0,102799.9,27116.022
1746741600000,102800.0,103200.0,102362.5,102991.7,8067.031
1746745200000,102991.6,103270.0,102746.2,103228.1,6718.545
1746748800000,103228.0,103228.1,102511.0,102799.0,8389.459
1746752400000,102799.0,103125.0,102525.0,103070.0,5424.311
1746756000000,103070.1,103070.1,102466.9,102575.0,4974.328
1746759600000,102574.9,102778.6,102327.9,102419.5,5555.903
1746763200000,102419.5,102851.5,102345.7,102801.4,3833.889
1746766800000,102801.3,102938.9,102560.0,102938.9,3435.904
1746770400000,102938.9,103225.7,102885.5,103189.1,6175.905
1746774000000,103189.0,104373.0,103091.0,103597.4,17649.934
1746777600000,103597.4,103920.0,102613.6,102936.6,15556.053
1746781200000,102936.6,103257.8,102376.5,102885.4,13443.066
1746784800000,102885.4,103433.1,102752.9,103323.8,7440.77
1746788400000,103323.8,103450.0,102632.4,102914.5,9982.215
1746792000000,102914.5,103120.0,102762.1,102860.0,4633.008
1746795600000,102860.1,103746.8,102777.0,103587.9,9684.679
1746799200000,103587.9,103715.3,102358.0,103110.9,17751.274
1746802800000,103111.0,103269.7,102644.0,102852.9,6613.899
1746806400000,102853.0,102891.0,102240.0,102446.6,8183.391
1746810000000,102446.7,103203.3,102293.4,103173.1,7766.491
1746813600000,103173.1,103336.1,102902.6,103142.6,4155.219
1746817200000,103142.7,103247.8,102832.5,103145.5,3318.936
1746820800000,103145.5,103366.0,103093.7,103143.5,2632.652
1746824400000,103143.5,103178.4,102739.6,102943.0,3037.166
1746828000000,102943.1,103036.7,102711.1,102745.8,1780.583
1746831600000,102745.9,102949.3,102700.0,102941.9,1464.887
1746835200000,102941.9,103081.7,102784.0,102821.1,3361.081
1746838800000,102821.0,103080.0,102817.5,102932.7,2192.295
1746842400000,102932.8,103232.0,102903.6,103104.2,1912.147
1746846000000,103104.2,103193.0,102938.1,103179.4,1571.208
1746849600000,103179.3,103179.4,102997.3,103121.5,1725.063
1746853200000,103121.6,103327.8,103057.1,103319.9,2594.178
1746856800000,103319.9,103919.9,103319.9,103908.0,7850.392
1746860400000,103907.9,104085.0,103585.0,103721.7,5964.478
1746864000000,103721.7,104066.2,103413.3,103587.7,5762.292
1746867600000,103587.7,103871.3,103311.0,103723.2,5551.513
1746871200000,103723.2,103846.1,103538.4,103540.0,3261.979
1746874800000,103540.0,103607.3,103329.1,103374.6,3954.127
1746878400000,103374.7,103781.1,103369.1,103646.7,3542.358
1746882000000,103646.6,103750.0,103481.9,103581.4,2450.63
1746885600000,103581.4,103630.7,103364.0,103476.6,2641.516
1746889200000,103476.6,103487.5,103038.7,103102.6,4972.757
1746892800000,103102.6,103495.0,103090.6,103390.6,4093.864
1746896400000,103390.6,103589.0,103111.0,103135.9,4665.227
1746900000000,103135.8,103300.0,102940.0,103196.9,4237.033
1746903600000,103197.0,103272.5,103045.0,103148.6,1751.678
1746907200000,103148.7,103276.1,103016.2,103144.9,1490.45
1746910800000,103144.9,103777.5,103116.1,103719.0,3389.513
1746914400000,103719.0,103817.5,103508.3,103551.2,3460.069
1746918000000,103551.2,105000.1,103523.4,104788.8,21988.689
