model,model_family,direction,symbol,timeframe,timestamp,setup_timestamp,detected_at,entry_time,exit_time,entry_mode,stop_mode,stop_model,target_mode,target_model,dol_priority,dol_target_type,dol_source,entry_price,entry_low,entry_high,stop_loss,invalidation,target_hint,tp1_price,tp2_price,final_target,rr_to_target,logical_invalidation_model,logical_invalidation_price,partial_close_fraction,be_trigger_r,moved_to_be,tp1_time,exit_reason,risk,risk_bps,commission_bps,slippage_bps,round_trip_cost_bps,commission_points,slippage_points,round_trip_cost_points,execution_cost_r,funding_rows,funding_rate_sum,funding_cost_r,funding_notional_price_mode,total_cost_r,gross_managed_outcome_r,net_managed_outcome_r,same_bar_policy,same_bar_ambiguous,activated_trade,invalidated_before_entry,target_reached_before_entry,session_window,session_date,session_label,session_type,ny_time,htf_mode,htf_bias,htf_location,htf_zone_type,htf_objective_type,htf_objective_level,htf_draw_direction,htf_objective_unreached,htf_context_alignment,bias_alignment,htf_score_modifier,pd_array_type,pd_array_age_bars,p_d_value,is_in_p_d,has_smt_confirmation,smt_detected,smt_direction,smt_pair,smt_strength,smt_timestamp,decision_score,score_bucket,htf_alignment_score,draw_score,pd_location_score,poi_score,displacement_score,smt_score,killzone_score,target_rr_score,no_trade_reasons,pre_model_filter_pass,pre_model_allowed_directions,pre_model_reasons,htf_inside_poi,htf_approaching_poi,swept_level,sweep_extreme,sweep_liquidity_quality,sweep_level_age_bars,range_source,asian_range_window,asian_range_tz,asian_range_date,asian_range_start,asian_range_end,asian_range_high,asian_range_low,asian_range_width_bps,asian_sweep_breach_bps,asian_first_signal_only,displacement_grade,displacement_factor,body_ratio,range_expansion,breach_displacement_grade,turtle_quality,turtle_soup_min_stop_applied,turtle_soup_min_stop_bps,asian_failed_sweep_count_before_reclaim,asian_reject_prior_failed_sweep,time_to_confirmation_bars,ltf_trigger_type,fvg_low,fvg_high,fvg_ce,ict2022_fvg_selection,fvg_fill_depth,ifvg_low,ifvg_high,ifvg_ce,ifvg_fill_depth,ifvg_min_retest_depth,source_fvg_age_bars,source_fvg_touches_before_inversion,silver_bullet_min_retest_depth,ob_low,ob_high,breaker_low,breaker_high,poi_retest_count,trigger_to_retest_bars,rejection_body_level,rejection_wick_extreme,current_wick_extreme,rejection_zone_low,rejection_zone_high,rejection_body_sweep_bps,rejection_min_wick_fraction,body_liquidity_sweep,mitigation_low,mitigation_high,time_to_retest_bars,retest_time,target_distance_r,time_to_entry_bars,bars_to_invalidation,bars_to_1r,bars_to_2r,metadata_json,mfe_r,mae_r,invalidated,invalidated_at,target_hit,tp1_hit,tp2_hit,final_target_hit,logical_invalidated,tp1_r,managed_outcome_r,managed_exit_reason,target_before_invalidation,hit_1r_before_invalidation,hit_2r_before_invalidation
turtle_soup,ict,short,BTCUSDT,30m,1641747600000,1641747600000,1641749400000,1641747600000,1641751200000,close,asian_sweep_extreme,sweep_extreme,dol_hierarchy,draw_on_liquidity,2,clean_equal_lows,local_eql,42026.25,42026.25,42026.25,42208.40525,42208.40525,41765.365,41844.09475,41765.365,41765.365,1.4322123573160648,sweep_extreme,42200.0,1.0,1.0,False,,logical_invalidation,182.15525000000343,43.3432081139772,4.0,1.0,10.0,0.0,0.0,0.0,0.230717,0,0.0,0.0,entry_proxy,0.230717,-1.0,-1.230717,conservative,False,True,False,False,08:30-12:00,2022-01-09,ny_open,,2022-01-09 12:00,off,none,unknown,None,none,,none,False,neutral,neutral,0.0,None,,,unknown,True,True,bearish,BTCUSDT:ETHUSDT,1.0,1641747600000,70,high,20,5,5,0,0,20,20,0,target_rr_below_2,True,"long,short",,,,42168.0,42200.0,,,asian_range,00:00-08:00,UTC,2022-01-09,1641686400000,1641715200000,42168.0,41380.0,188.634079,7.588693,False,,,,,,valid,False,,0,True,,asian_range_reclaim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4322123573160648,1,2,,,"{""asian_failed_sweep_count_before_reclaim"": 0, ""asian_first_signal_only"": false, ""asian_range_date"": ""2022-01-09"", ""asian_range_end"": 1641715200000, ""asian_range_high"": 42168.0, ""asian_range_low"": 41380.0, ""asian_range_start"": 1641686400000, ""asian_range_tz"": ""UTC"", ""asian_range_width_bps"": 188.634079, ""asian_range_window"": ""00:00-08:00"", ""asian_reject_prior_failed_sweep"": true, ""asian_sweep_breach_bps"": 7.588693, ""be_trigger_r"": 1.0, ""bias_alignment"": ""neutral"", ""close_back_distance_bps"": 33.61553784860558, ""dealing_range_source"": ""unknown"", ""dol_priority"": 2, ""dol_source"": ""local_eql"", ""dol_target_type"": ""clean_equal_lows"", ""enabled"": false, ""entry_mode"": ""close"", ""entry_price"": 42026.25, ""entry_time"": 1641747600000, ""exit_reason"": null, ""final_target"": 41765.365, ""has_smt_confirmation"": true, ""htf_allows_long"": false, ""htf_allows_short"": false, ""htf_bias"": ""none"", ""htf_confidence"": null, ""htf_context_alignment"": ""neutral"", ""htf_draw_direction"": ""none"", ""htf_location"": ""unknown"", ""htf_mode"": ""off"", ""htf_objective_level"": null, ""htf_objective_reached"": false, ""htf_objective_type"": ""none"", ""htf_objective_unreached"": false, ""htf_poi_direction"": ""neutral"", ""htf_reason"": ""no HTF context"", ""htf_score_modifier"": 0.0, ""htf_structure_bias"": ""neutral"", ""htf_zone_high"": null, ""htf_zone_low"": null, ""htf_zone_type"": ""None"", ""is_in_p_d"": ""unknown"", ""logical_invalidation_confirmation"": ""body_close"", ""logical_invalidation_model"": ""sweep_extreme"", ""logical_invalidation_price"": 42200.0, ""ltf_trigger_type"": ""asian_range_reclaim"", ""model_family"": ""ict"", ""moved_to_be"": false, ""ny_time"": ""2022-01-09 12:00"", ""p_d_value"": null, ""partial_close_fraction"": 0.5, ""pd_array_age_bars"": null, ""pd_array_type"": ""None"", ""pre_model_allowed_directions"": ""long,short"", ""pre_model_filter_pass"": true, ""pre_model_reasons"": """", ""range_source"": ""asian_range"", ""risk"": 182.15525000000343, ""risk_bps"": 43.3432081139772, ""rr_to_target"": 1.4322123573160648, ""session_date"": ""2022-01-09"", ""session_filter"": ""configured"", ""session_label"": ""ny_open"", ""session_window"": ""08:30-12:00"", ""smt_detected"": true, ""smt_direction"": ""bearish"", ""smt_pair"": ""BTCUSDT:ETHUSDT"", ""smt_primary_symbol"": ""BTCUSDT"", ""smt_secondary_symbol"": ""ETHUSDT"", ""smt_strength"": 1.0, ""smt_timestamp"": 1641747600000, ""stop_loss"": 42208.40525, ""stop_mode"": ""asian_sweep_extreme"", ""stop_model"": ""sweep_extreme"", ""sweep_extreme"": 42200.0, ""sweep_time"": 1641747600000, ""swept_level"": 42168.0, ""target_mode"": ""dol_hierarchy"", ""target_model"": ""draw_on_liquidity"", ""tp1_price"": 41844.09475, ""tp2_price"": 41765.365, ""turtle_quality"": ""valid"", ""turtle_quality_filters"": {""close_back_fraction"": 0.545969, ""min_close_back_fraction"": 0.05, ""min_wick_atr_ratio"": 0.0, ""min_wick_fraction"": 0.1, ""passed"": true, ""quality"": ""valid"", ""wick_atr_ratio"": 0.139179, ""wick_extension"": 32.0, ""wick_fraction"": 0.123252}, ""turtle_soup_min_stop_applied"": false, ""turtle_soup_min_stop_bps"": null, ""wick_extension_bps"": 7.588692847656991}",2.493751895704304,4.104191342275254,True,,False,False,False,False,True,1.0,-1.0,logical_invalidation,False,False,False
turtle_soup,ict,short,BTCUSDT,30m,1648990800000,1648990800000,1648992600000,1648990800000,1648992600000,close,asian_sweep_extreme,sweep_extreme,dol_hierarchy,draw_on_liquidity,2,clean_equal_lows,local_eql,46544.4,46544.4,46544.4,46674.60888,46674.60888,46407.95,46414.19112,46407.95,46407.95,1.047931600364016,sweep_extreme,46665.3,1.0,1.0,True,1648992600000,tp_hit,130.20887999999832,27.975197875576505,4.0,1.0,10.0,0.0,0.0,0.0,0.357459,0,0.0,0.0,entry_proxy,0.357459,1.0,0.642541,conservative,False,True,False,False,08:30-12:00,2022-04-03,ny_open,,2022-04-03 09:00,off,none,unknown,None,none,,none,False,neutral,neutral,0.0,None,,,unknown,True,True,bearish,BTCUSDT:ETHUSDT,0.762511,1648990800000,70,high,20,5,5,0,0,20,20,0,target_rr_below_2,True,"long,short",,,,46586.1,46665.3,,,asian_range,00:00-08:00,UTC,2022-04-03,1648944000000,1648972800000,46586.1,45501.0,235.668188,17.000779,False,,,,,,valid,False,,0,True,,asian_range_reclaim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.047931600364016,1,,1,,"{""asian_failed_sweep_count_before_reclaim"": 0, ""asian_first_signal_only"": false, ""asian_range_date"": ""2022-04-03"", ""asian_range_end"": 1648972800000, ""asian_range_high"": 46586.1, ""asian_range_low"": 45501.0, ""asian_range_start"": 1648944000000, ""asian_range_tz"": ""UTC"", ""asian_range_width_bps"": 235.668188, ""asian_range_window"": ""00:00-08:00"", ""asian_reject_prior_failed_sweep"": true, ""asian_sweep_breach_bps"": 17.000779, ""be_trigger_r"": 1.0, ""bias_alignment"": ""neutral"", ""close_back_distance_bps"": 8.951167837616175, ""dealing_range_source"": ""unknown"", ""dol_priority"": 2, ""dol_source"": ""local_eql"", ""dol_target_type"": ""clean_equal_lows"", ""enabled"": false, ""entry_mode"": ""close"", ""entry_price"": 46544.4, ""entry_time"": 1648990800000, ""exit_reason"": null, ""final_target"": 46407.95, ""has_smt_confirmation"": true, ""htf_allows_long"": false, ""htf_allows_short"": false, ""htf_bias"": ""none"", ""htf_confidence"": null, ""htf_context_alignment"": ""neutral"", ""htf_draw_direction"": ""none"", ""htf_location"": ""unknown"", ""htf_mode"": ""off"", ""htf_objective_level"": null, ""htf_objective_reached"": false, ""htf_objective_type"": ""none"", ""htf_objective_unreached"": false, ""htf_poi_direction"": ""neutral"", ""htf_reason"": ""no HTF context"", ""htf_score_modifier"": 0.0, ""htf_structure_bias"": ""neutral"", ""htf_zone_high"": null, ""htf_zone_low"": null, ""htf_zone_type"": ""None"", ""is_in_p_d"": ""unknown"", ""logical_invalidation_confirmation"": ""body_close"", ""logical_invalidation_model"": ""sweep_extreme"", ""logical_invalidation_price"": 46665.3, ""ltf_trigger_type"": ""asian_range_reclaim"", ""model_family"": ""ict"", ""moved_to_be"": false, ""ny_time"": ""2022-04-03 09:00"", ""p_d_value"": null, ""partial_close_fraction"": 0.5, ""pd_array_age_bars"": null, ""pd_array_type"": ""None"", ""pre_model_allowed_directions"": ""long,short"", ""pre_model_filter_pass"": true, ""pre_model_reasons"": """", ""range_source"": ""asian_range"", ""risk"": 130.20887999999832, ""risk_bps"": 27.975197875576505, ""rr_to_target"": 1.047931600364016, ""session_date"": ""2022-04-03"", ""session_filter"": ""configured"", ""session_label"": ""ny_open"", ""session_window"": ""08:30-12:00"", ""smt_detected"": true, ""smt_direction"": ""bearish"", ""smt_pair"": ""BTCUSDT:ETHUSDT"", ""smt_primary_symbol"": ""BTCUSDT"", ""smt_secondary_symbol"": ""ETHUSDT"", ""smt_strength"": 0.762511, ""smt_timestamp"": 1648990800000, ""stop_loss"": 46674.60888, ""stop_mode"": ""asian_sweep_extreme"", ""stop_model"": ""sweep_extreme"", ""sweep_extreme"": 46665.3, ""sweep_time"": 1648990800000, ""swept_level"": 46586.1, ""target_mode"": ""dol_hierarchy"", ""target_model"": ""draw_on_liquidity"", ""tp1_price"": 46414.19112, ""tp2_price"": 46407.95, ""turtle_quality"": ""valid"", ""turtle_quality_filters"": {""close_back_fraction"": 0.102031, ""min_close_back_fraction"": 0.05, ""min_wick_atr_ratio"": 0.0, ""min_wick_fraction"": 0.1, ""passed"": true, ""quality"": ""valid"", ""wick_atr_ratio"": 0.453676, ""wick_extension"": 79.20000000000437, ""wick_fraction"": 0.193785}, ""turtle_soup_min_stop_applied"": false, ""turtle_soup_min_stop_bps"": null, ""wick_extension_bps"": 17.000779202381047}",6.150886176119569,6.939618864704237,False,,True,True,True,True,False,1.0,1.0,final_target_hit,True,True,False
turtle_soup,ict,short,BTCUSDT,30m,1649430000000,1649430000000,1649431800000,1649430000000,1649435400000,close,asian_sweep_extreme,sweep_extreme,dol_hierarchy,draw_on_liquidity,2,clean_equal_lows,local_eql,43836.3,43836.3,43836.3,43964.76726,43964.76726,43423.1,43707.832740000005,43423.1,43423.1,3.216383691845004,sweep_extreme,43956.0,1.0,1.0,True,1649431800000,tp_hit,128.46725999999762,29.30613669493037,4.0,1.0,10.0,0.0,0.0,0.0,0.341225,1,0.0,0.0,entry_proxy,0.341225,1.0,0.658775,conservative,False,True,False,False,08:30-12:00,2022-04-08,ny_open,,2022-04-08 11:00,off,none,unknown,None,none,,none,False,neutral,neutral,0.0,None,,,unknown,True,True,bearish,BTCUSDT:ETHUSDT,1.0,1649430000000,90,high,20,5,5,0,0,20,20,20,,True,"long,short",,,,43879.0,43956.0,,,asian_range,00:00-08:00,UTC,2022-04-08,1649376000000,1649404800000,43879.0,43279.5,137.56547,17.548258,False,,,,,,strong,False,,0,True,,asian_range_reclaim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.216383691845004,1,,1,1,"{""asian_failed_sweep_count_before_reclaim"": 0, ""asian_first_signal_only"": false, ""asian_range_date"": ""2022-04-08"", ""asian_range_end"": 1649404800000, ""asian_range_high"": 43879.0, ""asian_range_low"": 43279.5, ""asian_range_start"": 1649376000000, ""asian_range_tz"": ""UTC"", ""asian_range_width_bps"": 137.56547, ""asian_range_window"": ""00:00-08:00"", ""asian_reject_prior_failed_sweep"": true, ""asian_sweep_breach_bps"": 17.548258, ""be_trigger_r"": 1.0, ""bias_alignment"": ""neutral"", ""close_back_distance_bps"": 9.731306547550558, ""dealing_range_source"": ""unknown"", ""dol_priority"": 2, ""dol_source"": ""local_eql"", ""dol_target_type"": ""clean_equal_lows"", ""enabled"": false, ""entry_mode"": ""close"", ""entry_price"": 43836.3, ""entry_time"": 1649430000000, ""exit_reason"": null, ""final_target"": 43423.1, ""has_smt_confirmation"": true, ""htf_allows_long"": false, ""htf_allows_short"": false, ""htf_bias"": ""none"", ""htf_confidence"": null, ""htf_context_alignment"": ""neutral"", ""htf_draw_direction"": ""none"", ""htf_location"": ""unknown"", ""htf_mode"": ""off"", ""htf_objective_level"": null, ""htf_objective_reached"": false, ""htf_objective_type"": ""none"", ""htf_objective_unreached"": false, ""htf_poi_direction"": ""neutral"", ""htf_reason"": ""no HTF context"", ""htf_score_modifier"": 0.0, ""htf_structure_bias"": ""neutral"", ""htf_zone_high"": null, ""htf_zone_low"": null, ""htf_zone_type"": ""None"", ""is_in_p_d"": ""unknown"", ""logical_invalidation_confirmation"": ""body_close"", ""logical_invalidation_model"": ""sweep_extreme"", ""logical_invalidation_price"": 43956.0, ""ltf_trigger_type"": ""asian_range_reclaim"", ""model_family"": ""ict"", ""moved_to_be"": false, ""ny_time"": ""2022-04-08 11:00"", ""p_d_value"": null, ""partial_close_fraction"": 0.5, ""pd_array_age_bars"": null, ""pd_array_type"": ""None"", ""pre_model_allowed_directions"": ""long,short"", ""pre_model_filter_pass"": true, ""pre_model_reasons"": """", ""range_source"": ""asian_range"", ""risk"": 128.46725999999762, ""risk_bps"": 29.30613669493037, ""rr_to_target"": 3.216383691845004, ""session_date"": ""2022-04-08"", ""session_filter"": ""configured"", ""session_label"": ""ny_open"", ""session_window"": ""08:30-12:00"", ""smt_detected"": true, ""smt_direction"": ""bearish"", ""smt_pair"": ""BTCUSDT:ETHUSDT"", ""smt_primary_symbol"": ""BTCUSDT"", ""smt_secondary_symbol"": ""ETHUSDT"", ""smt_strength"": 1.0, ""smt_timestamp"": 1649430000000, ""stop_loss"": 43964.76726, ""stop_mode"": ""asian_sweep_extreme"", ""stop_model"": ""sweep_extreme"", ""sweep_extreme"": 43956.0, ""sweep_time"": 1649430000000, ""swept_level"": 43879.0, ""target_mode"": ""dol_hierarchy"", ""target_model"": ""draw_on_liquidity"", ""tp1_price"": 43707.832740000005, ""tp2_price"": 43423.1, ""turtle_quality"": ""strong"", ""turtle_quality_filters"": {""close_back_fraction"": 0.177399, ""min_close_back_fraction"": 0.05, ""min_wick_atr_ratio"": 0.0, ""min_wick_fraction"": 0.1, ""passed"": true, ""quality"": ""strong"", ""wick_atr_ratio"": 0.342664, ""wick_extension"": 77.0, ""wick_fraction"": 0.3199}, ""turtle_soup_min_stop_applied"": false, ""turtle_soup_min_stop_bps"": null, ""wick_extension_bps"": 17.548257708698923}",13.717892013887706,0.6515278678785446,False,,True,True,True,True,False,1.0,1.0,final_target_hit,True,True,True
turtle_soup,ict,short,BTCUSDT,30m,1652279400000,1652279400000,1652281200000,1652279400000,1652284800000,close,asian_sweep_extreme,sweep_extreme,dol_hierarchy,draw_on_liquidity,2,clean_equal_lows,local_eql,31815.3,31815.3,31815.3,32074.26306,32074.26306,30602.0,31556.336939999997,30602.0,30602.0,4.685224216921095,sweep_extreme,32067.9,1.0,1.0,True,1652281200000,tp_hit,258.96306000000186,81.39576241619658,4.0,1.0,10.0,0.0,0.0,0.0,0.122857,0,0.0,0.0,entry_proxy,0.122857,1.0,0.877143,conservative,False,True,False,False,08:30-12:00,2022-05-11,ny_open,,2022-05-11 10:30,off,none,unknown,None,none,,none,False,neutral,neutral,0.0,None,,,unknown,True,True,bearish,BTCUSDT:ETHUSDT,0.929709,1652279400000,90,high,20,5,5,0,0,20,20,20,,True,"long,short",,,,31908.8,32067.9,,,asian_range,00:00-08:00,UTC,2022-05-11,1652227200000,1652256000000,31908.8,30188.0,554.231458,49.860853,False,,,,,,valid,False,,0,True,,asian_range_reclaim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.685224216921095,1,,1,1,"{""asian_failed_sweep_count_before_reclaim"": 0, ""asian_first_signal_only"": false, ""asian_range_date"": ""2022-05-11"", ""asian_range_end"": 1652256000000, ""asian_range_high"": 31908.8, ""asian_range_low"": 30188.0, ""asian_range_start"": 1652227200000, ""asian_range_tz"": ""UTC"", ""asian_range_width_bps"": 554.231458, ""asian_range_window"": ""00:00-08:00"", ""asian_reject_prior_failed_sweep"": true, ""asian_sweep_breach_bps"": 49.860853, ""be_trigger_r"": 1.0, ""bias_alignment"": ""neutral"", ""close_back_distance_bps"": 29.30226144511859, ""dealing_range_source"": ""unknown"", ""dol_priority"": 2, ""dol_source"": ""local_eql"", ""dol_target_type"": ""clean_equal_lows"", ""enabled"": false, ""entry_mode"": ""close"", ""entry_price"": 31815.3, ""entry_time"": 1652279400000, ""exit_reason"": null, ""final_target"": 30602.0, ""has_smt_confirmation"": true, ""htf_allows_long"": false, ""htf_allows_short"": false, ""htf_bias"": ""none"", ""htf_confidence"": null, ""htf_context_alignment"": ""neutral"", ""htf_draw_direction"": ""none"", ""htf_location"": ""unknown"", ""htf_mode"": ""off"", ""htf_objective_level"": null, ""htf_objective_reached"": false, ""htf_objective_type"": ""none"", ""htf_objective_unreached"": false, ""htf_poi_direction"": ""neutral"", ""htf_reason"": ""no HTF context"", ""htf_score_modifier"": 0.0, ""htf_structure_bias"": ""neutral"", ""htf_zone_high"": null, ""htf_zone_low"": null, ""htf_zone_type"": ""None"", ""is_in_p_d"": ""unknown"", ""logical_invalidation_confirmation"": ""body_close"", ""logical_invalidation_model"": ""sweep_extreme"", ""logical_invalidation_price"": 32067.9, ""ltf_trigger_type"": ""asian_range_reclaim"", ""model_family"": ""ict"", ""moved_to_be"": false, ""ny_time"": ""2022-05-11 10:30"", ""p_d_value"": null, ""partial_close_fraction"": 0.5, ""pd_array_age_bars"": null, ""pd_array_type"": ""None"", ""pre_model_allowed_directions"": ""long,short"", ""pre_model_filter_pass"": true, ""pre_model_reasons"": """", ""range_source"": ""asian_range"", ""risk"": 258.96306000000186, ""risk_bps"": 81.39576241619658, ""rr_to_target"": 4.685224216921095, ""session_date"": ""2022-05-11"", ""session_filter"": ""configured"", ""session_label"": ""ny_open"", ""session_window"": ""08:30-12:00"", ""smt_detected"": true, ""smt_direction"": ""bearish"", ""smt_pair"": ""BTCUSDT:ETHUSDT"", ""smt_primary_symbol"": ""BTCUSDT"", ""smt_secondary_symbol"": ""ETHUSDT"", ""smt_strength"": 0.929709, ""smt_timestamp"": 1652279400000, ""stop_loss"": 32074.26306, ""stop_mode"": ""asian_sweep_extreme"", ""stop_model"": ""sweep_extreme"", ""sweep_extreme"": 32067.9, ""sweep_time"": 1652279400000, ""swept_level"": 31908.8, ""target_mode"": ""dol_hierarchy"", ""target_model"": ""draw_on_liquidity"", ""tp1_price"": 31556.336939999997, ""tp2_price"": 30602.0, ""turtle_quality"": ""valid"", ""turtle_quality_filters"": {""close_back_fraction"": 0.100086, ""min_close_back_fraction"": 0.05, ""min_wick_atr_ratio"": 0.0, ""min_wick_fraction"": 0.1, ""passed"": true, ""quality"": ""valid"", ""wick_atr_ratio"": 0.212683, ""wick_extension"": 159.10000000000218, ""wick_fraction"": 0.170306}, ""turtle_soup_min_stop_applied"": false, ""turtle_soup_min_stop_bps"": null, ""wick_extension_bps"": 49.86085343228269}",16.080671891967793,0.09499424358054004,False,,True,True,True,True,False,1.0,1.0,final_target_hit,True,True,True
turtle_soup,ict,short,BTCUSDT,30m,1653406200000,1653406200000,1653408000000,1653406200000,1653417000000,close,asian_sweep_extreme,sweep_extreme,dol_hierarchy,draw_on_liquidity,2,clean_equal_lows,local_eql,29373.9,29373.9,29373.9,29677.87478,29677.87478,29107.9,29107.9,29107.9,29107.9,0.8750725964831779,sweep_extreme,29672.0,1.0,1.0,False,,tp_hit,303.9747799999968,103.4846513401342,4.0,1.0,10.0,0.0,0.0,0.0,0.096633,1,-2.892e-05,-0.002795,entry_proxy,0.093838,0.8750725964831779,0.781235,conservative,False,True,False,False,08:30-12:00,2022-05-24,ny_open,,2022-05-24 11:30,off,none,unknown,None,none,,none,False,neutral,neutral,0.0,None,,,unknown,True,True,bearish,BTCUSDT:ETHUSDT,1.0,1653406200000,70,high,20,5,5,0,0,20,20,0,target_rr_below_2,True,"long,short",,,,29431.6,29672.0,,,asian_range,00:00-08:00,UTC,2022-05-24,1653350400000,1653379200000,29431.6,29040.0,133.945368,81.680914,False,,,,,,valid,False,,0,True,,asian_range_reclaim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8750725964831779,1,,,,"{""asian_failed_sweep_count_before_reclaim"": 0, ""asian_first_signal_only"": false, ""asian_range_date"": ""2022-05-24"", ""asian_range_end"": 1653379200000, ""asian_range_high"": 29431.6, ""asian_range_low"": 29040.0, ""asian_range_start"": 1653350400000, ""asian_range_tz"": ""UTC"", ""asian_range_width_bps"": 133.945368, ""asian_range_window"": ""00:00-08:00"", ""asian_reject_prior_failed_sweep"": true, ""asian_sweep_breach_bps"": 81.680914, ""be_trigger_r"": 1.0, ""bias_alignment"": ""neutral"", ""close_back_distance_bps"": 19.60477853735342, ""dealing_range_source"": ""unknown"", ""dol_priority"": 2, ""dol_source"": ""local_eql"", ""dol_target_type"": ""clean_equal_lows"", ""enabled"": false, ""entry_mode"": ""close"", ""entry_price"": 29373.9, ""entry_time"": 1653406200000, ""exit_reason"": null, ""final_target"": 29107.9, ""has_smt_confirmation"": true, ""htf_allows_long"": false, ""htf_allows_short"": false, ""htf_bias"": ""none"", ""htf_confidence"": null, ""htf_context_alignment"": ""neutral"", ""htf_draw_direction"": ""none"", ""htf_location"": ""unknown"", ""htf_mode"": ""off"", ""htf_objective_level"": null, ""htf_objective_reached"": false, ""htf_objective_type"": ""none"", ""htf_objective_unreached"": false, ""htf_poi_direction"": ""neutral"", ""htf_reason"": ""no HTF context"", ""htf_score_modifier"": 0.0, ""htf_structure_bias"": ""neutral"", ""htf_zone_high"": null, ""htf_zone_low"": null, ""htf_zone_type"": ""None"", ""is_in_p_d"": ""unknown"", ""logical_invalidation_confirmation"": ""body_close"", ""logical_invalidation_model"": ""sweep_extreme"", ""logical_invalidation_price"": 29672.0, ""ltf_trigger_type"": ""asian_range_reclaim"", ""model_family"": ""ict"", ""moved_to_be"": false, ""ny_time"": ""2022-05-24 11:30"", ""p_d_value"": null, ""partial_close_fraction"": 0.5, ""pd_array_age_bars"": null, ""pd_array_type"": ""None"", ""pre_model_allowed_directions"": ""long,short"", ""pre_model_filter_pass"": true, ""pre_model_reasons"": """", ""range_source"": ""asian_range"", ""risk"": 303.9747799999968, ""risk_bps"": 103.4846513401342, ""rr_to_target"": 0.8750725964831779, ""session_date"": ""2022-05-24"", ""session_filter"": ""configured"", ""session_label"": ""ny_open"", ""session_window"": ""08:30-12:00"", ""smt_detected"": true, ""smt_direction"": ""bearish"", ""smt_pair"": ""BTCUSDT:ETHUSDT"", ""smt_primary_symbol"": ""BTCUSDT"", ""smt_secondary_symbol"": ""ETHUSDT"", ""smt_strength"": 1.0, ""smt_timestamp"": 1653406200000, ""stop_loss"": 29677.87478, ""stop_mode"": ""asian_sweep_extreme"", ""stop_model"": ""sweep_extreme"", ""sweep_extreme"": 29672.0, ""sweep_time"": 1653406200000, ""swept_level"": 29431.6, ""target_mode"": ""dol_hierarchy"", ""target_model"": ""draw_on_liquidity"", ""tp1_price"": 29107.9, ""tp2_price"": 29107.9, ""turtle_quality"": ""valid"", ""turtle_quality_filters"": {""close_back_fraction"": 0.090199, ""min_close_back_fraction"": 0.05, ""min_wick_atr_ratio"": 0.0, ""min_wick_fraction"": 0.1, ""passed"": true, ""quality"": ""valid"", ""wick_atr_ratio"": 1.484455, ""wick_extension"": 240.40000000000146, ""wick_fraction"": 0.375801}, ""turtle_soup_min_stop_applied"": false, ""turtle_soup_min_stop_bps"": null, ""wick_extension_bps"": 81.68091439133498}",0.9668565267158168,2.8712908353778834,False,,True,False,True,True,False,1.0,0.8750725964831779,final_target_hit,True,False,False
