rank,filter_name,count,filtered_out,expectancy,target_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_decision_score,avg_rr,min_decision_score,min_target_distance_r,require_smt,require_session_window,allowed_displacement_grades,allowed_htf_locations,exclude_no_trade_reasons
1,min_target_distance_r=3,52,67,0.601256,0.153846,0.384615,0.596154,99.711538,12.79265,0,3,false,false,,,
2,"min_target_distance_r=3;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",52,67,0.601256,0.153846,0.384615,0.596154,99.711538,12.79265,0,3,false,false,,,"equilibrium,poor_pd_location,target_rr_below_2"
3,"min_target_distance_r=3;allowed_htf_locations=discount,premium",52,67,0.601256,0.153846,0.384615,0.596154,99.711538,12.79265,0,3,false,false,,"discount,premium",
4,"min_target_distance_r=3;allowed_htf_locations=discount,premium;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",52,67,0.601256,0.153846,0.384615,0.596154,99.711538,12.79265,0,3,false,false,,"discount,premium","equilibrium,poor_pd_location,target_rr_below_2"
5,min_decision_score=50;min_target_distance_r=3,52,67,0.601256,0.153846,0.384615,0.596154,99.711538,12.79265,50,3,false,false,,,
6,"min_decision_score=50;min_target_distance_r=3;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",52,67,0.601256,0.153846,0.384615,0.596154,99.711538,12.79265,50,3,false,false,,,"equilibrium,poor_pd_location,target_rr_below_2"
7,"min_decision_score=50;min_target_distance_r=3;allowed_htf_locations=discount,premium",52,67,0.601256,0.153846,0.384615,0.596154,99.711538,12.79265,50,3,false,false,,"discount,premium",
8,"min_decision_score=50;min_target_distance_r=3;allowed_htf_locations=discount,premium;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",52,67,0.601256,0.153846,0.384615,0.596154,99.711538,12.79265,50,3,false,false,,"discount,premium","equilibrium,poor_pd_location,target_rr_below_2"
9,min_decision_score=70;min_target_distance_r=3,52,67,0.601256,0.153846,0.384615,0.596154,99.711538,12.79265,70,3,false,false,,,
10,"min_decision_score=70;min_target_distance_r=3;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",52,67,0.601256,0.153846,0.384615,0.596154,99.711538,12.79265,70,3,false,false,,,"equilibrium,poor_pd_location,target_rr_below_2"
11,"min_decision_score=70;min_target_distance_r=3;allowed_htf_locations=discount,premium",52,67,0.601256,0.153846,0.384615,0.596154,99.711538,12.79265,70,3,false,false,,"discount,premium",
12,"min_decision_score=70;min_target_distance_r=3;allowed_htf_locations=discount,premium;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",52,67,0.601256,0.153846,0.384615,0.596154,99.711538,12.79265,70,3,false,false,,"discount,premium","equilibrium,poor_pd_location,target_rr_below_2"
13,"exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",81,38,0.426457,0.222222,0.382716,0.617284,98.790123,9.054329,0,0,false,false,,,"equilibrium,poor_pd_location,target_rr_below_2"
14,"allowed_htf_locations=discount,premium;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",81,38,0.426457,0.222222,0.382716,0.617284,98.790123,9.054329,0,0,false,false,,"discount,premium","equilibrium,poor_pd_location,target_rr_below_2"
15,min_target_distance_r=2,81,38,0.426457,0.222222,0.382716,0.617284,98.790123,9.054329,0,2,false,false,,,
16,"min_target_distance_r=2;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",81,38,0.426457,0.222222,0.382716,0.617284,98.790123,9.054329,0,2,false,false,,,"equilibrium,poor_pd_location,target_rr_below_2"
17,"min_target_distance_r=2;allowed_htf_locations=discount,premium",81,38,0.426457,0.222222,0.382716,0.617284,98.790123,9.054329,0,2,false,false,,"discount,premium",
18,"min_target_distance_r=2;allowed_htf_locations=discount,premium;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",81,38,0.426457,0.222222,0.382716,0.617284,98.790123,9.054329,0,2,false,false,,"discount,premium","equilibrium,poor_pd_location,target_rr_below_2"
19,"min_decision_score=50;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",81,38,0.426457,0.222222,0.382716,0.617284,98.790123,9.054329,50,0,false,false,,,"equilibrium,poor_pd_location,target_rr_below_2"
20,"min_decision_score=50;allowed_htf_locations=discount,premium;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",81,38,0.426457,0.222222,0.382716,0.617284,98.790123,9.054329,50,0,false,false,,"discount,premium","equilibrium,poor_pd_location,target_rr_below_2"
21,min_decision_score=50;min_target_distance_r=2,81,38,0.426457,0.222222,0.382716,0.617284,98.790123,9.054329,50,2,false,false,,,
