model,model_family,direction,symbol,timeframe,timestamp,setup_timestamp,detected_at,entry_time,entry_mode,stop_mode,stop_model,target_mode,target_model,dol_priority,dol_target_type,dol_source,entry_price,entry_low,entry_high,stop_loss,invalidation,target_hint,tp1_price,tp2_price,final_target,rr_to_target,logical_invalidation_model,logical_invalidation_price,partial_close_fraction,be_trigger_r,moved_to_be,exit_reason,risk,risk_bps,commission_bps,slippage_bps,round_trip_cost_bps,execution_cost_r,gross_managed_outcome_r,net_managed_outcome_r,same_bar_policy,same_bar_ambiguous,activated_trade,invalidated_before_entry,target_reached_before_entry,session_window,session_date,session_label,session_type,ny_time,htf_mode,htf_bias,htf_location,htf_zone_type,htf_objective_type,htf_objective_level,htf_draw_direction,htf_objective_unreached,htf_context_alignment,bias_alignment,htf_score_modifier,pd_array_type,pd_array_age_bars,p_d_value,is_in_p_d,has_smt_confirmation,smt_detected,smt_direction,smt_pair,smt_strength,decision_score,score_bucket,htf_alignment_score,draw_score,pd_location_score,poi_score,displacement_score,smt_score,killzone_score,target_rr_score,no_trade_reasons,pre_model_filter_pass,pre_model_allowed_directions,pre_model_reasons,htf_inside_poi,htf_approaching_poi,swept_level,sweep_extreme,sweep_liquidity_quality,sweep_level_age_bars,range_source,asian_range_window,asian_range_tz,asian_range_date,asian_range_start,asian_range_end,asian_range_high,asian_range_low,asian_range_width_bps,asian_sweep_breach_bps,asian_first_signal_only,displacement_grade,displacement_factor,body_ratio,range_expansion,breach_displacement_grade,turtle_quality,time_to_confirmation_bars,ltf_trigger_type,fvg_low,fvg_high,fvg_ce,fvg_fill_depth,ifvg_low,ifvg_high,ifvg_ce,ifvg_fill_depth,ifvg_min_retest_depth,source_fvg_age_bars,source_fvg_touches_before_inversion,silver_bullet_min_retest_depth,ob_low,ob_high,breaker_low,breaker_high,poi_retest_count,trigger_to_retest_bars,rejection_body_level,rejection_wick_extreme,current_wick_extreme,rejection_zone_low,rejection_zone_high,rejection_body_sweep_bps,rejection_min_wick_fraction,body_liquidity_sweep,mitigation_low,mitigation_high,time_to_retest_bars,retest_time,target_distance_r,time_to_entry_bars,bars_to_invalidation,bars_to_1r,bars_to_2r,metadata_json,mfe_r,mae_r,invalidated,invalidated_at,target_hit,tp1_hit,tp2_hit,final_target_hit,logical_invalidated,tp1_r,managed_outcome_r,managed_exit_reason,target_before_invalidation,hit_1r_before_invalidation,hit_2r_before_invalidation
turtle_soup,ict,short,BTCUSDT,30m,1735916400000,1735916400000,1735918200000,1735916400000,close,asian_sweep_extreme,sweep_extreme,fixed_r,fixed_r,99,fixed_r,fixed_r,97215.9,97215.9,97215.9,97452.84318,97452.84318,96742.01363999999,96978.95681999999,96742.01363999999,96742.01363999999,2.0,sweep_extreme,97433.4,1.0,1.0,False,logical_invalidation,236.94318000000203,24.37288344807815,4.0,1.0,10.0,0.410292,-1.0,-1.410292,conservative,False,True,False,False,08:30-12:00,2025-01-03,ny_open,,2025-01-03 10:00,off,none,unknown,None,none,,none,False,neutral,neutral,0.0,None,,,unknown,False,False,,,,60,medium,20,5,5,0,0,0,20,10,target_rr_below_3,True,"long,short",,,,97325.7,97433.4,,,asian_range,00:00-08:00,UTC,2025-01-03,1735862400000,1735891200000,97325.7,96236.6,112.532244,11.065936,True,,,,,,valid,,asian_range_reclaim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1,1,,,"{""asian_first_signal_only"": true, ""asian_range_date"": ""2025-01-03"", ""asian_range_end"": 1735891200000, ""asian_range_high"": 97325.7, ""asian_range_low"": 96236.6, ""asian_range_start"": 1735862400000, ""asian_range_tz"": ""UTC"", ""asian_range_width_bps"": 112.532244, ""asian_range_window"": ""00:00-08:00"", ""asian_sweep_breach_bps"": 11.065936, ""be_trigger_r"": 1.0, ""bias_alignment"": ""neutral"", ""close_back_distance_bps"": 11.281706681791439, ""dealing_range_source"": ""unknown"", ""dol_priority"": 99, ""dol_source"": ""fixed_r"", ""dol_target_type"": ""fixed_r"", ""enabled"": false, ""entry_mode"": ""close"", ""entry_price"": 97215.9, ""entry_time"": 1735916400000, ""exit_reason"": null, ""final_target"": 96742.01363999999, ""has_smt_confirmation"": false, ""htf_allows_long"": false, ""htf_allows_short"": false, ""htf_bias"": ""none"", ""htf_confidence"": null, ""htf_context_alignment"": ""neutral"", ""htf_draw_direction"": ""none"", ""htf_location"": ""unknown"", ""htf_mode"": ""off"", ""htf_objective_level"": null, ""htf_objective_reached"": false, ""htf_objective_type"": ""none"", ""htf_objective_unreached"": false, ""htf_poi_direction"": ""neutral"", ""htf_reason"": ""no HTF context"", ""htf_score_modifier"": 0.0, ""htf_structure_bias"": ""neutral"", ""htf_zone_high"": null, ""htf_zone_low"": null, ""htf_zone_type"": ""None"", ""is_in_p_d"": ""unknown"", ""logical_invalidation_confirmation"": ""body_close"", ""logical_invalidation_model"": ""sweep_extreme"", ""logical_invalidation_price"": 97433.4, ""ltf_trigger_type"": ""asian_range_reclaim"", ""model_family"": ""ict"", ""moved_to_be"": false, ""ny_time"": ""2025-01-03 10:00"", ""p_d_value"": null, ""partial_close_fraction"": 0.5, ""pd_array_age_bars"": null, ""pd_array_type"": ""None"", ""pre_model_allowed_directions"": ""long,short"", ""pre_model_filter_pass"": true, ""pre_model_reasons"": """", ""range_source"": ""asian_range"", ""risk"": 236.94318000000203, ""risk_bps"": 24.37288344807815, ""rr_to_target"": 2.0, ""session_date"": ""2025-01-03"", ""session_filter"": ""configured"", ""session_label"": ""ny_open"", ""session_window"": ""08:30-12:00"", ""smt_detected"": false, ""stop_loss"": 97452.84318, ""stop_mode"": ""asian_sweep_extreme"", ""stop_model"": ""sweep_extreme"", ""sweep_extreme"": 97433.4, ""sweep_time"": 1735916400000, ""swept_level"": 97325.7, ""target_mode"": ""fixed_r"", ""target_model"": ""fixed_r"", ""tp1_price"": 96978.95681999999, ""tp2_price"": 96742.01363999999, ""turtle_quality"": ""valid"", ""turtle_quality_filters"": {""close_back_fraction"": 0.151219, ""min_close_back_fraction"": 0.05, ""min_wick_atr_ratio"": 0.0, ""min_wick_fraction"": 0.1, ""passed"": true, ""quality"": ""valid"", ""wick_atr_ratio"": 0.394015, ""wick_extension"": 107.69999999999709, ""wick_fraction"": 0.148327}, ""wick_extension_bps"": 11.065936335417787}",0.5444343238746052,7.314411834938617,True,,False,False,False,False,True,1.0,-1.0,logical_invalidation,False,False,False
turtle_soup,ict,long,BTCUSDT,30m,1736521200000,1736521200000,1736523000000,1736521200000,close,asian_sweep_extreme,sweep_extreme,fixed_r,fixed_r,99,fixed_r,fixed_r,93233.8,93233.8,93233.8,92154.95324,92154.95324,95391.49352,94312.64676,95391.49352,95391.49352,2.0,sweep_extreme,92173.6,1.0,1.0,True,sl_hit,1078.8467600000004,115.71412513487601,4.0,1.0,10.0,0.08642,1.0,0.91358,conservative,False,True,False,False,08:30-12:00,2025-01-10,ny_open,,2025-01-10 10:00,off,none,unknown,None,none,,none,False,neutral,neutral,0.0,None,,,unknown,False,False,,,,60,medium,20,5,5,0,0,0,20,10,target_rr_below_3,True,"long,short",,,,92395.9,92173.6,,,asian_range,00:00-08:00,UTC,2025-01-10,1736467200000,1736496000000,94975.2,92395.9,275.314603,24.059509,True,,,,,,valid,,asian_range_reclaim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1,3,1,,"{""asian_first_signal_only"": true, ""asian_range_date"": ""2025-01-10"", ""asian_range_end"": 1736496000000, ""asian_range_high"": 94975.2, ""asian_range_low"": 92395.9, ""asian_range_start"": 1736467200000, ""asian_range_tz"": ""UTC"", ""asian_range_width_bps"": 275.314603, ""asian_range_window"": ""00:00-08:00"", ""asian_sweep_breach_bps"": 24.059509, ""be_trigger_r"": 1.0, ""bias_alignment"": ""neutral"", ""close_back_distance_bps"": 90.68584212070111, ""dealing_range_source"": ""unknown"", ""dol_priority"": 99, ""dol_source"": ""fixed_r"", ""dol_target_type"": ""fixed_r"", ""enabled"": false, ""entry_mode"": ""close"", ""entry_price"": 93233.8, ""entry_time"": 1736521200000, ""exit_reason"": null, ""final_target"": 95391.49352, ""has_smt_confirmation"": false, ""htf_allows_long"": false, ""htf_allows_short"": false, ""htf_bias"": ""none"", ""htf_confidence"": null, ""htf_context_alignment"": ""neutral"", ""htf_draw_direction"": ""none"", ""htf_location"": ""unknown"", ""htf_mode"": ""off"", ""htf_objective_level"": null, ""htf_objective_reached"": false, ""htf_objective_type"": ""none"", ""htf_objective_unreached"": false, ""htf_poi_direction"": ""neutral"", ""htf_reason"": ""no HTF context"", ""htf_score_modifier"": 0.0, ""htf_structure_bias"": ""neutral"", ""htf_zone_high"": null, ""htf_zone_low"": null, ""htf_zone_type"": ""None"", ""is_in_p_d"": ""unknown"", ""logical_invalidation_confirmation"": ""body_close"", ""logical_invalidation_model"": ""sweep_extreme"", ""logical_invalidation_price"": 92173.6, ""ltf_trigger_type"": ""asian_range_reclaim"", ""model_family"": ""ict"", ""moved_to_be"": false, ""ny_time"": ""2025-01-10 10:00"", ""p_d_value"": null, ""partial_close_fraction"": 0.5, ""pd_array_age_bars"": null, ""pd_array_type"": ""None"", ""pre_model_allowed_directions"": ""long,short"", ""pre_model_filter_pass"": true, ""pre_model_reasons"": """", ""range_source"": ""asian_range"", ""risk"": 1078.8467600000004, ""risk_bps"": 115.71412513487601, ""rr_to_target"": 2.0, ""session_date"": ""2025-01-10"", ""session_filter"": ""configured"", ""session_label"": ""ny_open"", ""session_window"": ""08:30-12:00"", ""smt_detected"": false, ""stop_loss"": 92154.95324, ""stop_mode"": ""asian_sweep_extreme"", ""stop_model"": ""sweep_extreme"", ""sweep_extreme"": 92173.6, ""sweep_time"": 1736521200000, ""swept_level"": 92395.9, ""target_mode"": ""fixed_r"", ""target_model"": ""fixed_r"", ""tp1_price"": 94312.64676, ""tp2_price"": 95391.49352, ""turtle_quality"": ""valid"", ""turtle_quality_filters"": {""close_back_fraction"": 0.439958, ""min_close_back_fraction"": 0.05, ""min_wick_atr_ratio"": 0.0, ""min_wick_fraction"": 0.1, ""passed"": true, ""quality"": ""valid"", ""wick_atr_ratio"": 0.430393, ""wick_extension"": 222.29999999998836, ""wick_fraction"": 0.116724}, ""wick_extension_bps"": 24.059509134062047}",2.455121615232914,0.2167128907167528,True,,False,True,False,False,False,1.0,1.0,be_after_tp1,False,True,False
turtle_soup,ict,short,BTCUSDT,30m,1737214200000,1737214200000,1737216000000,1737214200000,close,asian_sweep_extreme,sweep_extreme,fixed_r,fixed_r,99,fixed_r,fixed_r,104517.1,104517.1,104517.1,104983.00342000001,104983.00342000001,103585.29316,104051.19658,103585.29316,103585.29316,2.0,sweep_extreme,104962.1,1.0,1.0,True,tp_hit,465.90342000000237,44.57676495042461,4.0,1.0,10.0,0.224332,1.0,0.775668,conservative,False,True,False,False,08:30-12:00,2025-01-18,ny_open,,2025-01-18 10:30,off,none,unknown,None,none,,none,False,neutral,neutral,0.0,None,,,unknown,False,False,,,,60,medium,20,5,5,0,0,0,20,10,target_rr_below_3,True,"long,short",,,,104620.0,104962.1,,,asian_range,00:00-08:00,UTC,2025-01-18,1737158400000,1737187200000,104620.0,102242.8,229.833494,32.699293,True,,,,,,strong,,asian_range_reclaim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1,,1,2,"{""asian_first_signal_only"": true, ""asian_range_date"": ""2025-01-18"", ""asian_range_end"": 1737187200000, ""asian_range_high"": 104620.0, ""asian_range_low"": 102242.8, ""asian_range_start"": 1737158400000, ""asian_range_tz"": ""UTC"", ""asian_range_width_bps"": 229.833494, ""asian_range_window"": ""00:00-08:00"", ""asian_sweep_breach_bps"": 32.699293, ""be_trigger_r"": 1.0, ""bias_alignment"": ""neutral"", ""close_back_distance_bps"": 9.835595488433778, ""dealing_range_source"": ""unknown"", ""dol_priority"": 99, ""dol_source"": ""fixed_r"", ""dol_target_type"": ""fixed_r"", ""enabled"": false, ""entry_mode"": ""close"", ""entry_price"": 104517.1, ""entry_time"": 1737214200000, ""exit_reason"": null, ""final_target"": 103585.29316, ""has_smt_confirmation"": false, ""htf_allows_long"": false, ""htf_allows_short"": false, ""htf_bias"": ""none"", ""htf_confidence"": null, ""htf_context_alignment"": ""neutral"", ""htf_draw_direction"": ""none"", ""htf_location"": ""unknown"", ""htf_mode"": ""off"", ""htf_objective_level"": null, ""htf_objective_reached"": false, ""htf_objective_type"": ""none"", ""htf_objective_unreached"": false, ""htf_poi_direction"": ""neutral"", ""htf_reason"": ""no HTF context"", ""htf_score_modifier"": 0.0, ""htf_structure_bias"": ""neutral"", ""htf_zone_high"": null, ""htf_zone_low"": null, ""htf_zone_type"": ""None"", ""is_in_p_d"": ""unknown"", ""logical_invalidation_confirmation"": ""body_close"", ""logical_invalidation_model"": ""sweep_extreme"", ""logical_invalidation_price"": 104962.1, ""ltf_trigger_type"": ""asian_range_reclaim"", ""model_family"": ""ict"", ""moved_to_be"": false, ""ny_time"": ""2025-01-18 10:30"", ""p_d_value"": null, ""partial_close_fraction"": 0.5, ""pd_array_age_bars"": null, ""pd_array_type"": ""None"", ""pre_model_allowed_directions"": ""long,short"", ""pre_model_filter_pass"": true, ""pre_model_reasons"": """", ""range_source"": ""asian_range"", ""risk"": 465.90342000000237, ""risk_bps"": 44.57676495042461, ""rr_to_target"": 2.0, ""session_date"": ""2025-01-18"", ""session_filter"": ""configured"", ""session_label"": ""ny_open"", ""session_window"": ""08:30-12:00"", ""smt_detected"": false, ""stop_loss"": 104983.00342000001, ""stop_mode"": ""asian_sweep_extreme"", ""stop_model"": ""sweep_extreme"", ""sweep_extreme"": 104962.1, ""sweep_time"": 1737214200000, ""swept_level"": 104620.0, ""target_mode"": ""fixed_r"", ""target_model"": ""fixed_r"", ""tp1_price"": 104051.19658, ""tp2_price"": 103585.29316, ""turtle_quality"": ""strong"", ""turtle_quality_filters"": {""close_back_fraction"": 0.13115, ""min_close_back_fraction"": 0.05, ""min_wick_atr_ratio"": 0.0, ""min_wick_fraction"": 0.1, ""passed"": true, ""quality"": ""strong"", ""wick_atr_ratio"": 0.632868, ""wick_extension"": 342.1000000000058, ""wick_fraction"": 0.436018}, ""wick_extension_bps"": 32.69929267826475}",3.020153833599244,1.978736279720783,False,,True,True,True,True,False,1.0,1.0,final_target_hit,True,True,True
turtle_soup,ict,short,BTCUSDT,30m,1737295200000,1737295200000,1737297000000,1737295200000,close,asian_sweep_extreme,sweep_extreme,fixed_r,fixed_r,99,fixed_r,fixed_r,105448.6,105448.6,105448.6,105764.18972000001,105764.18972000001,104817.42056,105133.01028,104817.42056,104817.42056,2.0,sweep_extreme,105743.1,1.0,1.0,True,tp_hit,315.5897200000036,29.928298716152096,4.0,1.0,10.0,0.334132,1.0,0.665868,conservative,False,True,False,False,08:30-12:00,2025-01-19,ny_open,,2025-01-19 09:00,off,none,unknown,None,none,,none,False,neutral,neutral,0.0,None,,,unknown,False,False,,,,60,medium,20,5,5,0,0,0,20,10,target_rr_below_3,True,"long,short",,,,105629.4,105743.1,,,asian_range,00:00-08:00,UTC,2025-01-19,1737244800000,1737273600000,105629.4,103980.0,157.378438,10.764049,True,,,,,,valid,,asian_range_reclaim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1,,1,2,"{""asian_first_signal_only"": true, ""asian_range_date"": ""2025-01-19"", ""asian_range_end"": 1737273600000, ""asian_range_high"": 105629.4, ""asian_range_low"": 103980.0, ""asian_range_start"": 1737244800000, ""asian_range_tz"": ""UTC"", ""asian_range_width_bps"": 157.378438, ""asian_range_window"": ""00:00-08:00"", ""asian_sweep_breach_bps"": 10.764049, ""be_trigger_r"": 1.0, ""bias_alignment"": ""neutral"", ""close_back_distance_bps"": 17.11644674683264, ""dealing_range_source"": ""unknown"", ""dol_priority"": 99, ""dol_source"": ""fixed_r"", ""dol_target_type"": ""fixed_r"", ""enabled"": false, ""entry_mode"": ""close"", ""entry_price"": 105448.6, ""entry_time"": 1737295200000, ""exit_reason"": null, ""final_target"": 104817.42056, ""has_smt_confirmation"": false, ""htf_allows_long"": false, ""htf_allows_short"": false, ""htf_bias"": ""none"", ""htf_confidence"": null, ""htf_context_alignment"": ""neutral"", ""htf_draw_direction"": ""none"", ""htf_location"": ""unknown"", ""htf_mode"": ""off"", ""htf_objective_level"": null, ""htf_objective_reached"": false, ""htf_objective_type"": ""none"", ""htf_objective_unreached"": false, ""htf_poi_direction"": ""neutral"", ""htf_reason"": ""no HTF context"", ""htf_score_modifier"": 0.0, ""htf_structure_bias"": ""neutral"", ""htf_zone_high"": null, ""htf_zone_low"": null, ""htf_zone_type"": ""None"", ""is_in_p_d"": ""unknown"", ""logical_invalidation_confirmation"": ""body_close"", ""logical_invalidation_model"": ""sweep_extreme"", ""logical_invalidation_price"": 105743.1, ""ltf_trigger_type"": ""asian_range_reclaim"", ""model_family"": ""ict"", ""moved_to_be"": false, ""ny_time"": ""2025-01-19 09:00"", ""p_d_value"": null, ""partial_close_fraction"": 0.5, ""pd_array_age_bars"": null, ""pd_array_type"": ""None"", ""pre_model_allowed_directions"": ""long,short"", ""pre_model_filter_pass"": true, ""pre_model_reasons"": """", ""range_source"": ""asian_range"", ""risk"": 315.5897200000036, ""risk_bps"": 29.928298716152096, ""rr_to_target"": 2.0, ""session_date"": ""2025-01-19"", ""session_filter"": ""configured"", ""session_label"": ""ny_open"", ""session_window"": ""08:30-12:00"", ""smt_detected"": false, ""stop_loss"": 105764.18972000001, ""stop_mode"": ""asian_sweep_extreme"", ""stop_model"": ""sweep_extreme"", ""sweep_extreme"": 105743.1, ""sweep_time"": 1737295200000, ""swept_level"": 105629.4, ""target_mode"": ""fixed_r"", ""target_model"": ""fixed_r"", ""tp1_price"": 105133.01028, ""tp2_price"": 104817.42056, ""turtle_quality"": ""valid"", ""turtle_quality_filters"": {""close_back_fraction"": 0.184527, ""min_close_back_fraction"": 0.05, ""min_wick_atr_ratio"": 0.0, ""min_wick_fraction"": 0.1, ""passed"": true, ""quality"": ""valid"", ""wick_atr_ratio"": 0.183605, ""wick_extension"": 113.70000000001164, ""wick_fraction"": 0.116044}, ""wick_extension_bps"": 10.76404864554865}",18.845987759043414,3.173107159510718,False,,True,True,True,True,False,1.0,1.0,final_target_hit,True,True,True
turtle_soup,ict,short,BTCUSDT,30m,1738249200000,1738249200000,1738251000000,1738249200000,close,asian_sweep_extreme,sweep_extreme,fixed_r,fixed_r,99,fixed_r,fixed_r,105454.9,105454.9,105454.9,106471.09098,106471.09098,103422.51804,104438.70902,103422.51804,103422.51804,2.0,sweep_extreme,106450.0,1.0,1.0,True,horizon_close,1016.1909799999994,96.3626137808674,4.0,1.0,10.0,0.103775,1.0,0.896225,conservative,False,True,False,False,08:30-12:00,2025-01-30,ny_open,,2025-01-30 10:00,off,none,unknown,None,none,,none,False,neutral,neutral,0.0,None,,,unknown,False,False,,,,60,medium,20,5,5,0,0,0,20,10,target_rr_below_3,True,"long,short",,,,105564.5,106450.0,,,asian_range,00:00-08:00,UTC,2025-01-30,1738195200000,1738224000000,105564.5,103224.5,224.14974,83.882366,True,,,,,,valid,,asian_range_reclaim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1,,18,,"{""asian_first_signal_only"": true, ""asian_range_date"": ""2025-01-30"", ""asian_range_end"": 1738224000000, ""asian_range_high"": 105564.5, ""asian_range_low"": 103224.5, ""asian_range_start"": 1738195200000, ""asian_range_tz"": ""UTC"", ""asian_range_width_bps"": 224.14974, ""asian_range_window"": ""00:00-08:00"", ""asian_sweep_breach_bps"": 83.882366, ""be_trigger_r"": 1.0, ""bias_alignment"": ""neutral"", ""close_back_distance_bps"": 10.382278133274522, ""dealing_range_source"": ""unknown"", ""dol_priority"": 99, ""dol_source"": ""fixed_r"", ""dol_target_type"": ""fixed_r"", ""enabled"": false, ""entry_mode"": ""close"", ""entry_price"": 105454.9, ""entry_time"": 1738249200000, ""exit_reason"": null, ""final_target"": 103422.51804, ""has_smt_confirmation"": false, ""htf_allows_long"": false, ""htf_allows_short"": false, ""htf_bias"": ""none"", ""htf_confidence"": null, ""htf_context_alignment"": ""neutral"", ""htf_draw_direction"": ""none"", ""htf_location"": ""unknown"", ""htf_mode"": ""off"", ""htf_objective_level"": null, ""htf_objective_reached"": false, ""htf_objective_type"": ""none"", ""htf_objective_unreached"": false, ""htf_poi_direction"": ""neutral"", ""htf_reason"": ""no HTF context"", ""htf_score_modifier"": 0.0, ""htf_structure_bias"": ""neutral"", ""htf_zone_high"": null, ""htf_zone_low"": null, ""htf_zone_type"": ""None"", ""is_in_p_d"": ""unknown"", ""logical_invalidation_confirmation"": ""body_close"", ""logical_invalidation_model"": ""sweep_extreme"", ""logical_invalidation_price"": 106450.0, ""ltf_trigger_type"": ""asian_range_reclaim"", ""model_family"": ""ict"", ""moved_to_be"": false, ""ny_time"": ""2025-01-30 10:00"", ""p_d_value"": null, ""partial_close_fraction"": 0.5, ""pd_array_age_bars"": null, ""pd_array_type"": ""None"", ""pre_model_allowed_directions"": ""long,short"", ""pre_model_filter_pass"": true, ""pre_model_reasons"": """", ""range_source"": ""asian_range"", ""risk"": 1016.1909799999994, ""risk_bps"": 96.3626137808674, ""rr_to_target"": 2.0, ""session_date"": ""2025-01-30"", ""session_filter"": ""configured"", ""session_label"": ""ny_open"", ""session_window"": ""08:30-12:00"", ""smt_detected"": false, ""stop_loss"": 106471.09098, ""stop_mode"": ""asian_sweep_extreme"", ""stop_model"": ""sweep_extreme"", ""sweep_extreme"": 106450.0, ""sweep_time"": 1738249200000, ""swept_level"": 105564.5, ""target_mode"": ""fixed_r"", ""target_model"": ""fixed_r"", ""tp1_price"": 104438.70902, ""tp2_price"": 103422.51804, ""turtle_quality"": ""valid"", ""turtle_quality_filters"": {""close_back_fraction"": 0.09812, ""min_close_back_fraction"": 0.05, ""min_wick_atr_ratio"": 0.0, ""min_wick_fraction"": 0.1, ""passed"": true, ""quality"": ""valid"", ""wick_atr_ratio"": 2.502897, ""wick_extension"": 885.5, ""wick_fraction"": 0.792748}, ""wick_extension_bps"": 83.88236575742792}",1.5498071041724806,0.6586360370961011,False,,False,True,False,False,False,1.0,1.0,horizon_close_after_tp1,False,True,False
turtle_soup,ict,long,BTCUSDT,30m,1738504800000,1738504800000,1738506600000,1738504800000,close,asian_sweep_extreme,sweep_extreme,fixed_r,fixed_r,99,fixed_r,fixed_r,99368.3,99368.3,99368.3,98640.12634,98640.12634,100824.64732,100096.47366,100824.64732,100824.64732,2.0,sweep_extreme,98660.0,1.0,1.0,False,logical_invalidation,728.1736600000004,73.28027751304997,4.0,1.0,10.0,0.136462,-1.0,-1.136462,conservative,False,True,False,False,08:30-12:00,2025-02-02,ny_open,,2025-02-02 09:00,off,none,unknown,None,none,,none,False,neutral,neutral,0.0,None,,,unknown,False,False,,,,60,medium,20,5,5,0,0,0,20,10,target_rr_below_3,True,"long,short",,,,98989.0,98660.0,,,asian_range,00:00-08:00,UTC,2025-02-02,1738454400000,1738483200000,101426.0,98989.0,243.19537,33.236016,True,,,,,,strong,,asian_range_reclaim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1,5,,,"{""asian_first_signal_only"": true, ""asian_range_date"": ""2025-02-02"", ""asian_range_end"": 1738483200000, ""asian_range_high"": 101426.0, ""asian_range_low"": 98989.0, ""asian_range_start"": 1738454400000, ""asian_range_tz"": ""UTC"", ""asian_range_width_bps"": 243.19537, ""asian_range_window"": ""00:00-08:00"", ""asian_sweep_breach_bps"": 33.236016, ""be_trigger_r"": 1.0, ""bias_alignment"": ""neutral"", ""close_back_distance_bps"": 38.317388800776136, ""dealing_range_source"": ""unknown"", ""dol_priority"": 99, ""dol_source"": ""fixed_r"", ""dol_target_type"": ""fixed_r"", ""enabled"": false, ""entry_mode"": ""close"", ""entry_price"": 99368.3, ""entry_time"": 1738504800000, ""exit_reason"": null, ""final_target"": 100824.64732, ""has_smt_confirmation"": false, ""htf_allows_long"": false, ""htf_allows_short"": false, ""htf_bias"": ""none"", ""htf_confidence"": null, ""htf_context_alignment"": ""neutral"", ""htf_draw_direction"": ""none"", ""htf_location"": ""unknown"", ""htf_mode"": ""off"", ""htf_objective_level"": null, ""htf_objective_reached"": false, ""htf_objective_type"": ""none"", ""htf_objective_unreached"": false, ""htf_poi_direction"": ""neutral"", ""htf_reason"": ""no HTF context"", ""htf_score_modifier"": 0.0, ""htf_structure_bias"": ""neutral"", ""htf_zone_high"": null, ""htf_zone_low"": null, ""htf_zone_type"": ""None"", ""is_in_p_d"": ""unknown"", ""logical_invalidation_confirmation"": ""body_close"", ""logical_invalidation_model"": ""sweep_extreme"", ""logical_invalidation_price"": 98660.0, ""ltf_trigger_type"": ""asian_range_reclaim"", ""model_family"": ""ict"", ""moved_to_be"": false, ""ny_time"": ""2025-02-02 09:00"", ""p_d_value"": null, ""partial_close_fraction"": 0.5, ""pd_array_age_bars"": null, ""pd_array_type"": ""None"", ""pre_model_allowed_directions"": ""long,short"", ""pre_model_filter_pass"": true, ""pre_model_reasons"": """", ""range_source"": ""asian_range"", ""risk"": 728.1736600000004, ""risk_bps"": 73.28027751304997, ""rr_to_target"": 2.0, ""session_date"": ""2025-02-02"", ""session_filter"": ""configured"", ""session_label"": ""ny_open"", ""session_window"": ""08:30-12:00"", ""smt_detected"": false, ""stop_loss"": 98640.12634, ""stop_mode"": ""asian_sweep_extreme"", ""stop_model"": ""sweep_extreme"", ""sweep_extreme"": 98660.0, ""sweep_time"": 1738504800000, ""swept_level"": 98989.0, ""target_mode"": ""fixed_r"", ""target_model"": ""fixed_r"", ""tp1_price"": 100096.47366, ""tp2_price"": 100824.64732, ""turtle_quality"": ""strong"", ""turtle_quality_filters"": {""close_back_fraction"": 0.527979, ""min_close_back_fraction"": 0.05, ""min_wick_atr_ratio"": 0.0, ""min_wick_fraction"": 0.1, ""passed"": true, ""quality"": ""strong"", ""wick_atr_ratio"": 0.660702, ""wick_extension"": 329.0, ""wick_fraction"": 0.457962}, ""wick_extension_bps"": 33.236016123003566}",0.02224744026033169,11.31323536201515,True,,False,False,False,False,True,1.0,-1.0,logical_invalidation,False,False,False
